spatial_liver_b2c_path	patient_id	spatial_liver_b2c_path_after_filtering	patient_id_filt	cell_density
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/QY_2480_Liver_MASH/QY_2480_Liver_MASH_cdata_b2c_clust.h5ad	QY_2480_Liver_MASH	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/20241108_tangram_preprocessing_genelist50_liver_nash_rem_mast/QY_2480_Liver_MASH_cdata_b2c_clust_filt_5ct.h5ad	HL20221019_broad_no_mast_filt	uniform
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/JL_101_1_2_3/JL_101_1_2_3_cdata_b2c_clust.h5ad	JL_101_1_2_3	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt/JL_101_1_2_3_cdata_b2c_filt_2ct.h5ad	HL180801_filt	uniform
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/QY_2645_1_2_3/QY_2645_1_2_3_cdata_b2c_clust.h5ad	QY_2645_1_2_3	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/QY_2645_1_2_3_cdata_b2c_filt_2ct.h5ad	HL180809_filt	uniform
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/QY_2665_1_2/QY_2665_1_2_cdata_b2c_clust.h5ad	QY_2665_1_2	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/QY_2665_1_2_cdata_b2c_filt_2ct.h5ad	HL160029_filt	uniform
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/QY_2673_1_2/QY_2673_1_2_cdata_b2c_clust.h5ad	QY_2673_1_2	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/QY_2673_1_2_cdata_b2c_filt_2ct.h5ad	HL230324_filt	uniform
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/QY_2674_1_2/QY_2674_1_2_cdata_b2c_clust.h5ad	QY_2674_1_2	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/QY_2674_1_2_cdata_b2c_filt_2ct.h5ad	HL230325_filt	uniform
/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/JL_104_2_3/JL_104_2_3_cdata_b2c_clust.h5ad	JL_104_2_3	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/JL_104_2_3_cdata_b2c_filt_2ct.h5ad	HL221006_filt	uniform
filler	QY_2644_3	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/micron_8_filt/QY_2644_3_filt_nct10_8mic.h5ad	HL191002_filt	rna_count_based
filler	QY_2666_1_2	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/QY_2666_1_2_cdata_b2c_filt_2ct.h5ad	HL170058_filt	uniform
filler	QY_2674_1_2	/tscc/projects/ps-epigen/users/cmiciano/Liver/RNA/outputs/sandbox/spatial/bin2cell_array_cpu/filt_deep/QY_2674_1_2_cdata_b2c_filt_2ct.h5ad	HL230325_filt	uniform
